,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
85,11. The Devil You Know,2022,"After a lifetime of trouble, a man has the chance to turn things around with the love and support of his family. As he tries to do right, he finds himself spiraling back into the dark place he overcame.",5.3,N/A,"Omar Epps,William Catlett,Glynn Turman,Curtiss Cook,Vanessa Bell Calloway,Erica Tazel,Vaughn W. Hebron,Michael Beach,B.J. Britt,Keisha Epps,Ashley A. Williams,Tammi Mac,Murray Gray,Jeph Loeb,Sarah Drescher,Conor Sherry,Sarah Minnich,Theo Rossi,Michael Ealy,Jammie Patton,Ka'ramuu Kush,Michael Cortez,Kristen Rozanski,Jason Sweat,Deborah Marcano,Elimu Nelson,Horecee St. Cyr,Mike Everett,Nick Checket,Stamaur Mitchell,Terence J. Rotolo,Karen Russell,Don Amiche,Aaron Johnson,Adam Fields,Alexander Ray Gerbenlaver,Anwar Glasgow,Ashley Fischer,Chris Coray,Devin Fields,Edgar Mota,Erika Stasiuleviciute,Ganna Bubnova,Greg Kriek,James Anderson,James Schueller,Jason Powell,Jedidiah Washington,Jeff Godsil,Karen Zelazo,Kristopher Love,Kristina Kankola,Lawrence Besong,Marvin Williams,Nick Paris,Pierina Camacho,Rhoda Pell,Rhode Thomas,Ricardo Hernandez,Rick Ramirez,Sam Young,Samori Dobson,Sarah Carroll,Stephanie Jones,Taharka Welcome,Terry Stroud,Tonya Cook,Vicki Le Mere,Wanda I. Gray,Zachary Chicos,Christopher Gray",R,Charles Murray,"Lionsgate,Amazon Freevee,Amazon Prime Video,Apple TV+,Starz,Tubi TV","Command,Tetrad Studios,BondIt Media Capital","Crime,Drama,Mystery,Thriller",116
86,12. Shark Bait,2022,"A group of friends on vacation steal a couple of jet skis for fun and race them out to sea, ending up in a head-on collision. They struggle to find a way home with a badly injured friend, while from the waters below predators lurk.",4.4,"EUR5,000,000 (estimated)","Holly Earl,Jack Trueman,Catherine Hannay,Malachi Pullar-Latchman,Thomas Flynn,Manuel Cauchi,Maxime Durand,Daniel Casingena,William Erazo Fernández,Ludovica Loda,Milo McDowell,Mariolys Morales,Joshua Takacs",TV-MA,James Nunn,"BfParis,Corazón Films,Shaw Organisation,Cinemundo,Feelgood Entertainment,Leonine Distribution,Leonine Distribution,Originals Factory,Synapse Distribution,Synapse Distribution,Vertical Entertainment","Picaro Films,Altitude Film Entertainment,Checkluck Films,Freebie Films,Ingenious Media,Lipsync,Saban Films,Small Island Films,Vitality Visual Effects","Horror,Thriller",87
87,13. Hostile Territory,2022,"In post-civil war America, when a Union soldier is presumed dead, his children are mistakenly sent away on the orphan train. This is a wild-west story of people uniting for the greater good, and children forced to grow up quickly. Former P.O.W. Jack Calgrove moves Heaven and Earth to be reunited with his children following the Civil War. After returning home, Jack finds out his wife has died and his children, presumed orphans, are heading deep into the West aboard a train crossing old enemy lines. Calgrove and another former soldier are joined by a troop of Native American sharpshooters and a freed slave, as they race to intercept the orphan train before all hope is lost.",4.9,N/A,"Matt McCoy,Lew Temple,Brad Leland,Brea Bee,Craig Tate,Brian Presley,Lorna Larkin,Tom Dragt,Brianna Elias,Cooper North,Emily Shenaut,Natalie Whittle,Timothy Patrick Cavanaugh,Scott L. Perez,Lyndell Chee,Emma Presley,Mauricio A. Jortack,Jackson Presley,Marissa Erickson,Olivia St. Peter,Ruby Rose Presley,Daelyanna Kelly Benson,Matthew Enderle,Cory Crouser,Ben Qualls",R,Brian Presley,"Saban Films,P12 Films,Amazon Instant Video,Defiant Screen Entertainment,Film Medya,Film Total,Google Play,Gravel Road Distribution Group,Grjngo,MagentaTV,Maxdome Store,Maxdome,Rakuten TV,Tiberius Film,Tiberius Film,Twelve Oaks Pictures,Videobuster.de,Videoload,Youtube Filme & TV,iTunes","P12 Films,Rebel Road Entertainment","Drama,History,Western",94
88,14. Choose or Die,2022,"After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences. A broke student who, in pursuit of an unclaimed $100,000 prize, plays an obscure 1980s survival computer game. After a series of unexpectedly terrifying moments, she soon realizes she's no longer playing for the money, but for her own life.",4.8,N/A,"Iola Evans,Asa Butterfield,Robert Englund,Angela Griffin,Ryan Gage,Eddie Marsan,Kate Fleetwood,Pete MacHale,Kayleen Aires Fonseca,Caroline Loncq,Delroy Atkinson,Ioanna Kimbook,Joe Bolland,George Hannigan,Silvana Montoya,Amelia Kinu Muus,Jesse Cescatti-McFarlane,Ellis Eyres,Logan Wong,Donna Peart-Johnson,Azahara Dorado Laguna,Ebony Skerritt,Andrea Garcia Londono,Yenifer Molina,Dervise Aziz,Lati Gbaja,Tara Edwards-Jones,Pragna Hay,Riccardo Mazzi,Foladara Ayeni,Aloaye Ayeni,Will White,Igor Ulanovs,Kieran O'Kane,Russell Muir,Joelle Koissi,Daniel Ezenyi,Imani Lewinson-Wilson,Geovan Bayya",TV-MA,Toby Meakins,"Netflix,Netflix","Anton,Stigma Films","Drama,Horror,Thriller",84
89,15. As They Made Us,2022,A divorced mom tries to make peace with her dysfunctional family as she finds a second chance at love.,5.8,N/A,"Dianna Agron,Dustin Hoffman,Simon Helberg,Candice Bergen,Charlie Weber,Jonathan Cohen,Justin Chu Cary,Julian Gant,Wesley Holloway,Mellanie Hubert,Sweta Keswani,Michal Birnbaum,Anastasia Veronica Lee,Edward Olaie,Gabi Faye,Jo Yang,Sheilagh Weymouth,Abraham Vasquez,John Wollman,Oliver Patnode,Jeremy Kucharek,Rocco Bovo,Cecelia Bonner,Lauren Milberger,C.L. Simpson,Yury Tsykun,Harrison Fox,Stephanie Pilavin,Phoenix Ra,Gina Jun",TV-MA,Mayim Bialik,"Amor Media,Quiver Distribution,Amazon Instant Video,Google Play,MagentaTV,Maxdome Store,Maxdome,Rakuten TV,Telepool,Videobuster.de,Videoload,Wild Duck Productions,Youtube Filme & TV,iTunes","Yale Productions,BondIt Media Capital,Bradley Pilz Productions,Carte Blanche,Cranium Entertainment,Film Mode Entertainment,Head Gear Films,Idiot Savant Pictures,Metrol Technology,Rolling Pictures,Sad Clown Productions,Screen Media Films,Slated,Vested Interest","Comedy,Drama",100
90,16. Lonesome,2022,"Casey, a country lad running from a small-town scandal, finds himself down and out in big city Sydney. When he meets city lad Tib both men find something they have been missing but neither of them knows quite how to negotiate it.",6.4,N/A,"Josh Lavery,Julian Oliver,Mathew Waters,Ally Morgan,Liz Lin,Liam Walker,Lewis Defina,Nathaniel Holdsworth,Zarif,Vincent Andriano,Adrian Jarrett,Shane Parsons,Aileen Beale,Hendrix Lee Taylor,Anthony Thomas,Anni Finsterer,Mark Paguio,Andrew Miatov,Shadi Sankary,Damien Killeen,Burhan Z.,Brodie Pyke,Adam Marks,Josh Phu,Shane Emmett,Corey London,Edward O'Leary,Ian Roberts,Joshua Malone James,Gareth Ernst,J.D. Chard,Valentino Noodle,Lachlan Claffey,Clinton Gill,Luke Hanna,Adrian Hoehne,Fiona Jordan,Kat Katchalova,Jodi Scarlett Katsoolis,Jazzy Kuo,Daniel Lewis,Brendon McDonall,Sam Patterson,Linda Wright,Ross Anderson,Lucy Garland,Kyle Goldfinch,Jeff Khan,Andrew Little,Timothy May,Ben Mercer,Georgia Neave,Taylor Neave,Ulysses Oliver,David Pieper,Paul Struthers,Dune Surf,Rhys Gibbon",TV-MA,Craig Boreham,"Peccadillo Pictures,Cinemien,Cinemien,Dark Star Pictures,Google Play,MagentaTV,Netflix,Optimale,Peccadillo Pictures,Tongariro Releasing,Videoload,Youtube Filme & TV,iTunes","Breathless Films,JJ Splice films",Drama,95
91,17. Boon,2022,"The widowed Catherine is busy trying to protect herself and her son from a local criminal organization. When Nick Boon and Catherine's lives cross paths, they find themselves leaning on each other to protect everything they stand for.",4.9,N/A,"Neal McDonough,Christiane Seidel,Christina Ochoa,Jake Melrose,Demetrius Grosse,John Patrick Jordan,Gabrielle Carteris,Pat Monahan,James Madio,Tommy Flanagan,Jason Scott Lee,Preacher Don,Jhon Goodwin,Barbara Terzieff,London Jane McDonough,Carin Lanctot,Karena Bush,Frank A. Gaimari,Alex Terzieff,Steve Emtman,Keith Cox,Jason Gray,Gabriel Hansen",N/A,Derek Presley,"101 Films,ACE Entertainment,Amazon Freevee,Amazon Instant Video,Amazon Prime Video,Cinedigm Entertainment Group,Film Medya,Google Play,Gravel Road Distribution Group,Gravel Road Distribution Group,Gravel Road Distribution Group,Gravel Road Distribution Group,MagentaTV,Maxdome Store,Maxdome,Paradiz,Rakuten TV,Sky Store,Take One,Tiberius Film,Tiberius Film,Videobuster.de,Videoload,Youplanet Pictures,Youtube Filme & TV,iTunes",Muscular Puppy,"Action,Crime,Drama,Mystery,Thriller",95
92,18. Titanic 666,2022,"Dark forces from the deep rise to the surface, terrorizing all aboard from Titanic III and threatens to repeat one of history's greatest disasters.",3.4,N/A,"Keesha Sharp,Jamie Bamber,Lydia Hearst,AnnaLynne McCord,Joseph Gatt,Jhey Castles,Michael J. Chen,Derek Yates,Kendall Chappell,Al Coronel,Giovannie Espiritu,Tarnue Massaquoi,Maurice Johnson,Heavenly Reyna,Neil Dickson,Jody Jaress,Cami Storm,DJames Jones,Micaiah Chen,Eva Ceja,Gary Murakami,Andre Pelzer,Nicholas Ryan,Jason Talmadge,Trevor Hansen,Jai Pellerin,Tyler Shirley,Xander Bailey,Brendan Petrizzo,Josh Costa,Brittany Daley,Sophie Jordan Collins,Gigi Gustin,Jack Vandergriend,Seth Keller,Dylan V. O'Brian,Sylvia Barron,Kelly Kathleen,Maria Petrizzo,Mary Petrizzo,Bogdan Szumilas,Eve Vice",TV-MA,Nick Lyon,"Elite Filmes,Tubi TV","Red Phoenix Bookkeeping,The Asylum,Tubi TV","Horror,Thriller",91
93,19. Room 203,2022,Two best friends and roommates are terrified by the vengeful spirits dwelling in their apartment. Based on the novel published by Kobunsha and written by Nanami Kamon.,4.3,N/A,"Francesca Xuereb,Viktoria Vinyarska,Eric Wiegand,Scott Gremillion,Rick LaCour,Quinn Nehr,Sam A Coleman,Timothy McKinney,Patrick Kirton,Susan Kirton,Terry J. Nelson,Jeroen Frank Kales,Cameron Inman,Yûji Ayabe,Bria Fleming,Christine W Chen,Thomas Johnston,Reece Roark,Hannah May Roark,Trae Carter,Shaylah Conley,Nikki Flores,Dave Markel,Frances O'Hanlon,Ariel Roberson,Carly Shiell,Clement Saoudi,Jeroen Frank Kales",Not,Ben Jagger,"Exponenta,Left Films,Voltage Pictures,Première TV Distribution,Première TV Distribution,Superfine Films,Tiberius Film,Tiberius Film,Vertical Entertainment,Vertical Entertainment","Ammo Entertainment,Ammo","Drama,Horror,Thriller",104
94,20. Gatlopp,2022,"Old friends reunite for a nostalgic evening of fun and games after a decade apart. After one too many, they decide to play a drinking game, but it's quickly revealed that this game comes with supernatural stakes. A group of old friends reunites for a nostalgic evening of fun and games after a decade apart. After one too many, they decide to play a drinking game, but it's quickly revealed that this game comes with supernatural stakes. Mischief leads to mayhem, and the group realizes that if they can't come together to win the game by sunrise, they will be forced to play for eternity--in hell.",5.9,N/A,"Emmy Raver-Lampman,Jim Mahoney,Jon Bass,Sarunas J. Jackson,Shelley Hennig,Ellen Wroe,Nancy Linehan Charles,Patricia Belcher,John Ales,Amy Davidson,Casey Mills,Kate Cobb,Jeffrey Larson,Menik Gooneratne,Tony Nunes,Marilyn Tokuda,Jeff Meacham,Ryan Q. Tran",N/A,Alberto Belli,"XYZ Films,Exponenta,Noori Pictures,Signature Entertainment","Tea Shop Productions,American Pantheon,Particular Crowd,Signature Films,The Knights Young Productions","Comedy,Drama,Horror",80
95,21. 9 Bullets,2022,A burlesque dancer must go on the run to save a neighbor boy whose life is threatened by her ex-lover.,4.2,"$1,900,000 (estimated)","Lena Headey,Sam Worthington,Dean Scott Vazquez,Martin Sensmeier,Chris Mullinax,Cam Gigandet,La La Anthony,Emma Holzer,Donna Hood,Anthony Fitzgerald,Stephanie Arcila,Zachary Mooren,Marlene Forte,John Ales,Cornelia Guest,Barbara Hershey,Colleen Camp,Dalila Ali Rajah,MJ Caballero,Tony Cummings,Chelsea Davis,Indy,Marc Menchaca",N/A,Gigi Gaston,"Screen Media Films,MDfilm,Rialto Distribution,Rialto Distribution,Screen Media,Amazon Instant Video,Google Play,MagentaTV,Maxdome Store,Maxdome,NOS Audiovisuais,Rakuten TV,Sky Store,Splendid Film,Splendid Film,Top Film Distribution,Videobuster.de,Videoload,Youplanet Pictures,Youtube Filme & TV,ZDF Mediathek,Zweites Deutsches Fernsehen (ZDF),iTunes","Foresight Unlimited,Pop Films.,Screen Media Films","Action,Crime,Thriller",97
96,22. Bullet Proof,2022,"After stealing millions in cash from the drug hiding place of the sadistic mafia boss Temple, a thief finds a stowaway passenger in his getaway car. After stealing millions in cash from sadistic mob boss Temple's drug-dealing hideout, a thief finds a stowaway in his getaway car: Temple's pregnant wife, Mia. Desperate to reclaim his cash, and his unborn son, Temple sends out a squad of hit men and bounty hunters to bring in Mia and the thief. Speed, cleverness, and good aim give the duo a brief advantage, but how long will their luck hold out?—Lionsgate",4.3,N/A,"Vinnie Jones,Philip Granger,Lina Lecompte,James Clayton,Danny Mac,Gaston Morrison,Lori Triolo,Glenn Ennis,Janvier Katabarwa,Sean Kennedy,Jason Wingham,Shaw Madson,Justin Doran,Blaine Anderson,Michael Mitton,Matthew Graham,Bonnie Hay,Vesna Ennis,Olivier Lunardi,Cooper Bibaud,Thomas Potter,Julian Robertson,Shane Leydon,Michael Matic,Tefari Thompson,Kelly Richard Fennig,Chelsea Thompson,Randy Rafuse,Joris Ekering",R,James Clayton,"IndustryWorks Studios,Cine Entertainment,Kinologistika,Lionsgate,Meteor Film,ACE Entertainment,Canal+,Filmster,Gravel Road Distribution Group,Gravel Road Distribution Group,Gravel Road Distribution Group,Gravel Road Distribution Group,IndustryWorks Studios,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Manymore Films,Meteor Film,Meteor Film,Phoenicia Pictures,Première TV Distribution,Première TV Distribution,Source 1 Media,Source 1 Media,TV Puls","IndustryWorks Studios,Play by Play Entertainment,Peacemaker Filmworks,RAW Camera Company,Greendale Productions,Grindstone Entertainment Group",Action,96
97,23. Private Property,2022,"Kathryn, a struggling actress and unfulfilled housewife, becomes involved with her new gardener, Ben. As he gives her the attention and sensitivity she craves, they start to fall for each other. But Ben is not what he seems.",3.9,N/A,"Ashley Benson,Shiloh Fernandez,Logan Miller,Frank Whaley,Jay Pharoah,King Orba,Rosemberg Salgado,Leslie Stratton,Michael Lee Joplin,Adam Ashbach",R,Chadd Harbold,"Lionsgate,Lionsgate Home Entertainment,Ten Letters,Gravel Road Distribution Group,Gravel Road Distribution Group,Gravel Road Distribution Group,Gravel Road Distribution Group,Ten Letters,WTFilms","Redwire Pictures,Black Magic,Carte Blanche,Grindstone Entertainment Group","Drama,Horror,Thriller",87
98,24. Stowaway,2022,"A tenacious party girl fights to survive after three thieves commandeer her luxury yacht. Unable to escape and trapped on the yacht at high seas, she turns the tables on the intruders and takes matters into her own hands.",3.3,N/A,"Patrick Schwarzenegger,Frank Grillo,Ruby Rose,Luis Da Silva Jr.,Major Dodge,James Di Giacomo,Eden Harper,Toney Chapman Steele,Emma Maddock,Danny Bohnen,Anna Grace Loman,Teddy Parker,Scotty Bohnen,Michelle Malentina,Shane Malone,Marco Ramirez,Raphael Alexander Edwards,Scott Moore,Cloie Cornish",R,Declan Whitebloom,"Saban Films,Amazon Instant Video,Amazon Prime Video,Google Play,Leonine Distribution,Leonine Distribution,MagentaTV,Maxdome Store,Maxdome,Movies Inspired,Première TV Distribution,Première TV Distribution,Rakuten TV,Sky Store,Source 1 Media,Videobuster.de,Videoload,Youtube Filme & TV","Bakrr MGMT,Volition Media Partners,New Legend Entertainment,Black Box Management,Identical Pictures,Short Porch Pictures,Studio 507",Thriller,94
99,25. Unplugging,2022,"To revive their marriage and reconnect, a couple takes a self-prescribed digital detox weekend to a remote mountain town. What starts as a perfect weekend getaway without technology quickly spirals out of control. Think a rustic getaway with no cell service, Internet or social media is a romantic way to repair your marriage and sex life? Think again. Meet Dan and Jeanine Dewerson. The only spark in their bedroom is from the wall socket. Their daughter's best friend is her iPad. Dan's not going to take it anymore and plans a quiet, relaxing weekend in a remote mountain town. No kids, no phones, no social media, only clean fresh air and lots of romance. But what starts as the perfect weekend quickly becomes disastrous with unearthly encounters, strong edibles, cranky locals, and a pesky one-eyed dog. Without GPS to guide them or social media to stave off their boredom, Dan and Jeanine are forced to reconnect with each other. Can a ""digital detox"" really save their marriage and their sanity?—Anonymous",4.4,N/A,"Keith David,Eva Longoria,Lea Thompson,Matt Walsh,Johnny Pemberton,Hala Finley,Nicole Byer,Joel Kim Booster,Stacie Greenwell,Al Madrigal,Tina Parker,Brad Morris,Krista Perry,Gail Cronauer,Anthony Parker,Nancy Friedrich,Heath McGough,Lureena Cornwell,Kyle Andrew Bell,Lisa Fenimore",R,Debra Neil-Fisher,"Capella Film,V71 Entertainment US,Vertical Entertainment,Vortex Media","Traveling Picture Show Company,Productivity Media,Roxwell Films","Comedy,Romance",94
